panel_id,panel_type,status,node_ids,rod_ids,edge_lengths_mm,area_mm2,perimeter_mm,min_edge_mm,max_edge_mm,planarity_error_mm,max_constraint_risk,center_x_mm,center_y_depth_mm,center_z_up_mm,normal_x,normal_y,normal_z,notes
TRI023,triangle,candidate_review,P015 P017 P018,PSR048 PSR057 PSR049,49.58 21.86 34.86,329.29,106.3,21.86,49.58,0.0,0,48.081,-23.804,-24.524,0.30927,-0.87376,0.37536,
TRI024,triangle,candidate_review,P016 P017 P018,PSR051 PSR057 PSR052,41.05 21.86 31.88,345.16,94.79,21.86,41.05,0.0,0,63.433,-15.156,-13.128,-0.22757,0.93308,-0.27853,
TRI051,triangle,candidate_review,P044 P046 P047,PSR116 PSR125 PSR117,49.58 21.86 34.86,329.29,106.3,21.86,49.58,0.0,4,-48.081,-23.804,-24.524,0.30927,0.87376,-0.37536,
TRI052,triangle,candidate_review,P045 P046 P047,PSR119 PSR125 PSR120,41.05 21.86 31.88,345.16,94.79,21.86,41.05,0.0,4,-63.433,-15.156,-13.128,-0.22757,-0.93308,0.27853,
QUAD015,quad,candidate_review,P015 P017 P016 P019,PSR048 PSR051 PSR053 PSR050,49.58 41.05 43.37 28.60,1550.3,162.6,28.6,49.58,1.553,0,47.3,-21.22,-11.909,0.30938,-0.91054,0.27422,
QUAD016,quad,candidate_review,P015 P018 P016 P019,PSR049 PSR052 PSR053 PSR050,34.86 31.88 43.37 28.60,881.91,138.7,28.6,43.37,0.636,0,43.115,-21.191,-8.396,0.38513,-0.90714,0.16959,
QUAD029,quad,candidate_review,P044 P046 P045 P048,PSR116 PSR119 PSR121 PSR118,49.58 41.05 43.37 28.60,1550.3,162.6,28.6,49.58,1.553,4,-47.3,-21.22,-11.909,0.30938,0.91054,-0.27422,
QUAD030,quad,candidate_review,P044 P047 P045 P048,PSR117 PSR120 PSR121 PSR118,34.86 31.88 43.37 28.60,881.91,138.7,28.6,43.37,0.636,4,-43.115,-21.191,-8.396,0.38513,0.90714,-0.16959,
