panel_id,panel_type,status,node_ids,rod_ids,edge_lengths_mm,area_mm2,perimeter_mm,min_edge_mm,max_edge_mm,planarity_error_mm,max_constraint_risk,center_x_mm,center_y_depth_mm,center_z_up_mm,normal_x,normal_y,normal_z,notes
QUAD007,quad,candidate_review,P007 P025 P026 P027,PSR023 PSR076 PSR077 PSR024,35.79 63.37 60.61 82.17,2914.79,241.95,35.79,82.17,41.61,2,81.375,40.78,64.456,0.56458,0.80345,-0.18898,
QUAD009,quad,candidate_review,P007 P027 P026 P069,PSR024 PSR077 PSR079 PSR026,82.17 60.61 45.54 92.39,4564.28,280.72,45.54,92.39,38.425,4,69.792,48.514,53.866,0.33118,-0.94314,0.02857,
QUAD024,quad,candidate_review,P037 P051 P052 P053,PSR099 PSR135 PSR136 PSR100,35.79 63.37 60.61 82.17,2914.79,241.95,35.79,82.17,41.61,4,-81.375,40.78,64.456,0.56458,-0.80345,0.18898,
QUAD026,quad,candidate_review,P037 P053 P052 P066,PSR100 PSR136 PSR138 PSR102,82.17 60.61 45.54 92.39,4564.28,280.72,45.54,92.39,38.425,4,-69.792,48.514,53.866,0.33118,0.94314,-0.02857,
MANT003,triangle,manual_candidate_review,P069 P071 P067,virtual:P069-P071 PSR158 virtual:P067-P069,59.38 49.58 25.48,622.91,134.43,25.48,59.38,0.0,4,54.982,90.718,14.234,0.95191,0.22261,0.21052,reviewer requested missing right/back-side triangle from coordinate feedback
