insert_id,insert_type,node_ids,edge_lengths_mm,area_mm2,perimeter_mm,planarity_error_mm,center_x_mm,center_y_depth_mm,center_z_up_mm,notes
INSERT_EYE_RIGHT,translucent_eye_quad,P015 P017 P016 P019,49.58 41.05 43.37 28.60,1550.3,162.6,1.553,47.3,-21.22,-11.909,translucent insert panel for EYE_RIGHT; shares boundary with eye cutout
INSERT_EYE_LEFT,translucent_eye_quad,P044 P046 P045 P048,49.58 41.05 43.37 28.60,1550.3,162.6,1.553,-47.3,-21.22,-11.909,translucent insert panel for EYE_LEFT; shares boundary with eye cutout
